SAMPLES,STRUCTURE,INTERCEPT,TOPIC_1,TOPIC_2,SIGMA,TP,FP,TN,FN,PRECISION,RECALL,F1,ACCURACY
1,STG,-0.44676923441797445,0.5103757412371479,-0.9368895339022392,0.5443141424546778,0,2,0,3,0,0,0,0
1,IFG,0.6216634017139744,-0.08845032156383903,-0.7864819603213982,0.06419094739921727,2,0,3,0,1,1,1,1
5,STG,0.053064431991491384,0.0016718723470265928,-0.3710940063345812,0.8765005990315804,0,2,0,3,0,0,0,0
5,IFG,-0.7896959768189706,-0.9499732408811727,-0.6139426677737418,1.1144716084305935,0,0,3,2,NaN,0,NaN,0.6
10,STG,-0.9878156399322713,0.04150816899945796,0.3258275666266158,0.9158293097578705,0,0,2,3,NaN,0,NaN,0.4
10,IFG,-0.7186619999260375,-0.316971656439095,0.21542326082934068,0.9130560546821986,0,0,3,2,NaN,0,NaN,0.6
50,STG,0.9017464740911411,0.9062355504507967,-0.9008970076922802,1.3928231448613206,3,2,0,0,0.6,1,0.7499999999999999,0.6
50,IFG,0.5183509659812315,-0.9252547348571004,-0.27884730512712685,0.46548681192098457,0,3,0,2,0,0,0,0
100,STG,0.22861629954565257,0.3284350034119321,-0.9705334720967057,0.446455560959117,0,2,0,3,0,0,0,0
100,IFG,0.22797594410399188,-0.19749424626855805,-0.12976015844991864,0.514131286014446,2,3,0,0,0.4,1,0.5714285714285714,0.4
500,STG,-0.42495193912659573,-0.9226371042139804,0.8716173562511615,0.40359545852610135,3,0,2,0,1,1,1,1
500,IFG,-0.3111736354417759,0.94718999238223,0.24387208493710164,0.6717637109548199,2,0,3,0,1,1,1,1
1000,STG,0.6755746357707779,-0.9915853062722966,0.9595430719023692,0.3321355270461164,3,0,2,0,1,1,1,1
1000,IFG,-0.18974876437169452,0.9897387287713022,-0.8193706414238173,0.2397434014330549,2,0,3,0,1,1,1,1
2500,STG,-0.44846020966114636,-0.8345470175134968,0.9637437130983884,0.2513352413947112,3,0,2,0,1,1,1,1
2500,IFG,-0.8696130199550223,0.9594150582175631,-0.8558554974035212,0.34814781338777023,2,0,3,0,1,1,1,1
5000,STG,0.9007041551736634,-0.9652548328075351,-0.35970722415895934,0.5917629260715072,3,2,0,0,0.6,1,0.7499999999999999,0.6
5000,IFG,0.21559067331714127,0.9824387344154976,-0.25185945615517247,0.32119154284844287,2,3,0,0,0.4,1,0.5714285714285714,0.4
7500,STG,0.6115386552983731,-0.9802314711910554,0.882665356387496,0.226809773896041,3,1,1,0,0.75,1,0.8571428571428572,0.8
7500,IFG,-0.4256779817583486,0.944416861346141,-0.9176803107794347,0.445365811520819,0,0,3,2,NaN,0,NaN,0.6
10000,STG,-0.12196901490366541,-0.4744870926826415,0.9392043351071913,0.30380601419381764,3,0,2,0,1,1,1,1
10000,IFG,0.9113167789078039,-0.6457429704608578,0.9500837267519102,1.3045921758836458,0,3,0,2,0,0,0,0
1,STG,-0.34422125630739275,-0.44943825093301265,0.26977316602913426,1.9359341439695914,0,0,2,3,NaN,0,NaN,0.4
1,IFG,-0.22408774559369204,0.7343802279937162,0.4276751869860407,1.1692498459191123,2,3,0,0,0.4,1,0.5714285714285714,0.4
5,STG,0.014667303168264575,0.43242821479595106,0.5419550373736595,0.12404131481654179,3,2,0,0,0.6,1,0.7499999999999999,0.6
5,IFG,0.7741980614853541,0.071894666460528,0.2245790596895627,0.536638859248534,2,3,0,0,0.4,1,0.5714285714285714,0.4
10,STG,0.05631055603166274,-0.9078752245186876,0.9246483570315915,1.9636850169119142,3,0,2,0,1,1,1,1
10,IFG,-0.4526434769628007,-0.33137794663609593,0.6181943886810963,0.28156347591856473,0,3,0,2,0,0,0,0
50,STG,-0.9938493427080919,0.2140998269112398,-0.9581322921063682,0.6411283842019565,0,0,2,3,NaN,0,NaN,0.4
50,IFG,-0.39136095066522625,0.75729581249535,0.31035653290637727,0.9398647835415294,2,0,3,0,1,1,1,1
100,STG,-0.7660236721175819,-0.7043025264829674,-0.25262862252290247,1.144843461215791,0,0,2,3,NaN,0,NaN,0.4
100,IFG,-0.23877171381561563,-0.9920381896808461,-0.7892707660913484,0.5720303829367762,0,0,3,2,NaN,0,NaN,0.6
500,STG,-0.6987835762046248,-0.9589300973860786,0.8905024720311996,0.4234866532407594,3,0,2,0,1,1,1,1
500,IFG,-0.49489830847515703,-0.4606029650269534,0.9553629814438054,0.3871360836442069,2,3,0,0,0.4,1,0.5714285714285714,0.4
1000,STG,-0.9965209135212101,-0.042792465041018725,0.016195017155184323,0.40531281611985104,0,0,2,3,NaN,0,NaN,0.4
1000,IFG,-0.25890619414634997,-0.981772246385409,0.34429040120707594,0.6123185727937059,0,0,3,2,NaN,0,NaN,0.6
2500,STG,0.48891857310176434,-0.5786406365975725,0.05384702043700807,0.41855588612192896,0,0,2,3,NaN,0,NaN,0.4
2500,IFG,0.5091707323941563,0.6973768845666533,-0.9109136454344967,0.7589126311746075,2,0,3,0,1,1,1,1
5000,STG,-0.7349567425819514,-0.6813983305960012,0.9192041989727497,0.33327927933116364,0,0,2,3,NaN,0,NaN,0.4
5000,IFG,-0.003658104069378623,0.5290088302701943,-0.9017509919174393,0.20556903274065866,2,3,0,0,0.4,1,0.5714285714285714,0.4
7500,STG,0.5993029718981723,-0.8781760671098437,0.928651014524812,0.21592329270724508,3,0,2,0,1,1,1,1
7500,IFG,-0.8203877675592008,0.9465192757910686,-0.9741923398698852,0.22216343918221054,0,0,3,2,NaN,0,NaN,0.6
10000,STG,-0.2961823187452727,0.46693664517404976,0.9168483364528308,0.3713167548530433,0,0,2,3,NaN,0,NaN,0.4
10000,IFG,-0.8103077786907582,0.9239824822022812,-0.6704326269435681,0.5132839427529168,2,0,3,0,1,1,1,1
1,STG,-0.08957980515585584,-0.09787986947679572,-0.6565246141234642,1.0276741474997273,0,0,2,3,NaN,0,NaN,0.4
1,IFG,0.977528830064915,0.18307822093830062,0.09300993506086908,0.8018068300561434,2,3,0,0,0.4,1,0.5714285714285714,0.4
5,STG,0.8871205946744141,0.8060821130109677,0.7309529970528363,0.6349345964640025,3,2,0,0,0.6,1,0.7499999999999999,0.6
5,IFG,-0.3077195817830515,0.683363705638179,0.388118258293004,0.36372409650155113,2,3,0,0,0.4,1,0.5714285714285714,0.4
10,STG,0.6848280997148162,-0.5561539626631793,0.23253701441819669,1.032641902391611,3,2,0,0,0.6,1,0.7499999999999999,0.6
10,IFG,0.5628336428263316,-0.2785187752476527,-0.7668339232665211,0.2056785624654478,2,0,3,0,1,1,1,1
50,STG,-0.048090110413899566,-0.3059088816137703,0.9592767251181387,0.3212808058657107,3,0,2,0,1,1,1,1
50,IFG,-0.9740794537465194,-0.247086274576983,-0.6652487693398453,0.7610177376279351,0,0,3,2,NaN,0,NaN,0.6
100,STG,0.3746711781762625,-0.1835046882164658,0.5984806671419145,0.7987882171894677,3,2,0,0,0.6,1,0.7499999999999999,0.6
100,IFG,-0.2329217084504303,-0.10648686722730526,-0.7612084761208531,0.6329965401572256,2,0,3,0,1,1,1,1
500,STG,0.9054167735571286,-0.9370464794246102,0.5434367810931341,0.4206008544295871,3,2,0,0,0.6,1,0.7499999999999999,0.6
500,IFG,0.37194557235550285,-0.499667161920195,-0.31200626741954496,0.5110543212452318,0,3,0,2,0,0,0,0
1000,STG,-0.2773477731844329,-0.5319780425135668,0.9472431418978676,0.32615630503280274,3,0,2,0,1,1,1,1
1000,IFG,-0.5620919862640423,0.980365004397659,-0.10853129741343956,0.2733750382681349,2,3,0,0,0.4,1,0.5714285714285714,0.4
2500,STG,-0.4947786473796064,-0.8973738406240124,0.5387689324479704,0.3329309242893019,3,0,2,0,1,1,1,1
2500,IFG,-0.4772301531395102,0.7919351424219067,-0.7669772976090717,0.2912875381686568,0,0,3,2,NaN,0,NaN,0.6
5000,STG,0.9623618355489094,-0.7411143995599739,0.7732161758039829,0.6596470751772384,3,2,0,0,0.6,1,0.7499999999999999,0.6
5000,IFG,-0.9543114908210134,0.07258880468114128,-0.1640911983683212,0.3954834545258847,0,0,3,2,NaN,0,NaN,0.6
7500,STG,-0.9066156155620317,-0.5852598353720792,0.9684284296229425,0.5334060600403738,3,0,2,0,1,1,1,1
7500,IFG,0.8292992649583002,-0.8149265931518024,-0.8541557418806843,0.3342712472601963,2,3,0,0,0.4,1,0.5714285714285714,0.4
10000,STG,0.9895418766206996,-0.9901541217500428,0.9270040498373788,0.3765650579024197,0,2,0,3,0,0,0,0
10000,IFG,-0.19460844487225135,-0.5638707813069099,-0.9208935388719419,0.43313579351508014,0,0,3,2,NaN,0,NaN,0.6
1,STG,-0.3339492132170895,0.7449959722735207,-0.06229071305600398,0.9817228043745034,0,2,0,3,0,0,0,0
1,IFG,0.9953153323232291,0.45165818085397963,-0.17899910153344933,1.1302044518767493,2,3,0,0,0.4,1,0.5714285714285714,0.4
5,STG,0.6417202060301177,-0.49975606299663283,0.9844764403036277,1.3559864037155447,3,2,0,0,0.6,1,0.7499999999999999,0.6
5,IFG,-0.36745752984661656,-0.692548115708661,-0.21254933478769678,0.7406033441585795,0,0,3,2,NaN,0,NaN,0.6
10,STG,-0.07490672743931048,-0.41931224945635387,-0.8862782639506293,1.8793858183007988,0,0,2,3,NaN,0,NaN,0.4
10,IFG,0.6513202703681445,0.4560917668636837,0.5003454602755346,0.14860235040896502,2,3,0,0,0.4,1,0.5714285714285714,0.4
50,STG,0.3589169220853018,-0.24026038711072556,0.05293050165425859,1.381381927375034,3,2,0,0,0.6,1,0.7499999999999999,0.6
50,IFG,-0.2860405561223751,0.8531480974294982,-0.44656941114505544,0.31989312042410845,2,0,3,0,1,1,1,1
100,STG,0.2896084838089385,0.8692260448394831,-0.3762418305709167,1.642088766102201,3,2,0,0,0.6,1,0.7499999999999999,0.6
100,IFG,-0.6299644379610332,0.10543685080996315,-0.022125816104408683,0.9183717874511121,0,0,3,2,NaN,0,NaN,0.6
500,STG,0.9982951534520486,-0.956000932855241,0.9744032227144973,0.47357644826210055,3,0,2,0,1,1,1,1
500,IFG,-0.15114459129357177,-0.050766490659163055,0.8722007076017504,0.47713619698970167,0,0,3,2,NaN,0,NaN,0.6
1000,STG,-0.9528171052914705,-0.6997652617127348,0.856236721255496,0.6074977858800873,0,0,2,3,NaN,0,NaN,0.4
1000,IFG,-0.43429421374534705,0.7376871928774469,0.1466583396327204,0.6988059409281603,2,0,3,0,1,1,1,1
2500,STG,-0.6905248664437617,-0.680942447854242,0.9785419546401759,0.2169196233284927,3,2,0,0,0.6,1,0.7499999999999999,0.6
2500,IFG,-0.5768600308462907,0.7020304717326449,-0.8946220608291013,0.3544820914687319,0,3,0,2,0,0,0,0
5000,STG,0.9130267263415632,-0.8601334437284878,0.3092592064262332,0.30753895475141046,3,2,0,0,0.6,1,0.7499999999999999,0.6
5000,IFG,-0.37668746892585103,-0.6933689348740412,-0.9520218868188954,0.40688102900487266,0,0,3,2,NaN,0,NaN,0.6
7500,STG,-0.24862912115956703,-0.900365827248593,0.907949239592504,0.2211278324871542,3,0,2,0,1,1,1,1
7500,IFG,-0.9830834095931303,0.9156015580303954,0.19545064229006062,0.4461978706887349,0,0,3,2,NaN,0,NaN,0.6
10000,STG,-0.5632471555264056,0.8981282687757126,0.7434735793242362,0.3846853567092915,3,0,2,0,1,1,1,1
10000,IFG,-0.9821967358156514,0.9638902850829738,0.9088485341183467,0.3552837350961374,2,1,2,0,0.6666666666666666,1,0.8,0.8
1,STG,-0.879417657735849,0.7652993222245503,-0.4705589247875297,1.9711533769028338,0,0,2,3,NaN,0,NaN,0.4
1,IFG,0.37749619210185187,-0.85000697882528,0.7753187531680168,1.4057347438540253,0,3,0,2,0,0,0,0
5,STG,-0.11887102441139819,-0.7171507691010044,-0.4573077232531104,1.6848332264371144,0,0,2,3,NaN,0,NaN,0.4
5,IFG,-0.0552559604527417,-0.8107564285585993,-0.7669720887994581,0.45545476901847814,0,0,3,2,NaN,0,NaN,0.6
10,STG,0.44445327700184367,-0.7630711706753653,0.9744200592432156,1.9636414161954936,3,0,2,0,1,1,1,1
10,IFG,0.5414617976675504,-0.2542827541057704,-0.9334894577799391,1.8330039922277759,2,0,3,0,1,1,1,1
50,STG,-0.5699450948883696,-0.9590327445965223,-0.4775657329256511,0.9033280580907526,0,0,2,3,NaN,0,NaN,0.4
50,IFG,-0.14466101064298426,0.2961213061749503,0.716049245753044,0.9703600621133031,2,3,0,0,0.4,1,0.5714285714285714,0.4
100,STG,-0.1815983908541307,0.0953197052362915,0.09649225919700932,0.979404280747843,3,2,0,0,0.6,1,0.7499999999999999,0.6
100,IFG,-0.506742930991729,0.8072357636966105,0.9348375772882929,0.45424109195434026,2,3,0,0,0.4,1,0.5714285714285714,0.4
500,STG,-0.9315763370137364,-0.4614806516108583,0.9674615477569594,0.5585494167587312,3,0,2,0,1,1,1,1
500,IFG,-0.9301228924905074,0.545710284636918,0.9773718737548922,0.8396039751209208,0,2,1,2,0,0,0,0.2
1000,STG,0.29610494161080403,-0.965463283266587,0.8947610318817003,0.49664823171259465,3,0,2,0,1,1,1,1
1000,IFG,-0.4323646488464481,-0.8329993225823206,-0.7577601758136728,0.37560338741439736,0,0,3,2,NaN,0,NaN,0.6
2500,STG,0.5879119626938198,-0.16828015799709234,-0.20821689429242113,0.37526444726182917,3,2,0,0,0.6,1,0.7499999999999999,0.6
2500,IFG,0.547593502365858,-0.91844310340138,0.17130034901949412,0.6239759558428908,2,3,0,0,0.4,1,0.5714285714285714,0.4
5000,STG,-0.08858504513344544,-0.35897205841929053,0.9371480065819486,0.2326565468424912,3,0,2,0,1,1,1,1
5000,IFG,0.14954256533733545,0.3237346086616202,-0.14748479477779874,0.33207767598008986,2,0,3,0,1,1,1,1
7500,STG,-0.23742301172438535,-0.021490002974250355,-0.1362278281951781,0.4095277696658356,3,0,2,0,1,1,1,1
7500,IFG,0.4666125628816477,-0.0007739018039355089,-0.9348391417803292,0.29336600089886916,2,3,0,0,0.4,1,0.5714285714285714,0.4
10000,STG,0.9903447444456551,-0.9721690392278167,0.9562802625768303,0.4175304884405652,3,2,0,0,0.6,1,0.7499999999999999,0.6
10000,IFG,-0.9406601057469657,0.9687234551194408,-0.21903710744588836,0.2791417352621532,0,0,3,2,NaN,0,NaN,0.6
1,STG,0.6615295092940463,0.07009738359286466,-0.16939534028122782,1.364769392496175,3,2,0,0,0.6,1,0.7499999999999999,0.6
1,IFG,-0.9140724720157656,0.14334495181699936,-0.34476231067857066,0.8415402957015465,0,0,3,2,NaN,0,NaN,0.6
5,STG,0.12194953848948113,0.9692650919239618,0.06256558186362995,1.1390460740248232,3,2,0,0,0.6,1,0.7499999999999999,0.6
5,IFG,-0.5070140506916905,-0.09961322939108257,-0.7738547764470689,1.8318048086365335,0,0,3,2,NaN,0,NaN,0.6
10,STG,-0.05729388331053334,0.19972706452938271,-0.839885151668972,0.5440299834119835,0,2,0,3,0,0,0,0
10,IFG,0.8627761882874572,-0.2637544264308874,-0.3675935572079981,1.2332762044853727,2,3,0,0,0.4,1,0.5714285714285714,0.4
50,STG,0.23327269182382687,0.8663484775346718,-0.7623776319247173,1.7189635425194596,1,2,0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2
50,IFG,-0.08026275664207647,0.3174448845810151,0.6015677896875459,0.6948174879827554,2,3,0,0,0.4,1,0.5714285714285714,0.4
100,STG,0.19868478926316888,0.9943541892188594,-0.9190765693250618,0.716573886262212,3,2,0,0,0.6,1,0.7499999999999999,0.6
100,IFG,-0.3085939273429801,0.1298588336968315,-0.3910252282893843,0.5426741861622553,2,3,0,0,0.4,1,0.5714285714285714,0.4
500,STG,0.5959218084311618,0.8857764417677609,-0.9616010035127405,0.7568433534010974,3,2,0,0,0.6,1,0.7499999999999999,0.6
500,IFG,-0.01960789600993601,0.9641579827523743,-0.33828385908283753,0.5192344783349669,2,0,3,0,1,1,1,1
1000,STG,0.4471953850158815,-0.5526815012245879,-0.9098967015125405,0.4503013575879371,0,0,2,3,NaN,0,NaN,0.4
1000,IFG,-0.7819571275598498,0.5649681619751963,-0.025164333614380596,0.3699504920644624,2,3,0,0,0.4,1,0.5714285714285714,0.4
2500,STG,-0.9198996805095283,-0.5466738530232917,0.9702919386277833,0.321350558522049,2,0,2,1,1,0.6666666666666666,0.8,0.8
2500,IFG,-0.8999510176583875,0.5537089937510856,-0.8968606928447009,0.6085325834455686,2,3,0,0,0.4,1,0.5714285714285714,0.4
5000,STG,0.9364523181536357,-0.6812171853120265,0.9748795745481273,0.22729648921146067,3,0,2,0,1,1,1,1
5000,IFG,0.8409066411169452,0.004814089032699184,-0.6073938722398358,0.4116196691537822,2,1,2,0,0.6666666666666666,1,0.8,0.8
7500,STG,0.19136700609451776,-0.9648587626645702,0.8911269851025418,0.265655239005802,3,0,2,0,1,1,1,1
7500,IFG,0.9486601319386135,0.5688675007510179,-0.5489289908924894,0.294911726161395,2,3,0,0,0.4,1,0.5714285714285714,0.4
10000,STG,0.981056760349093,-0.5139743560534715,-0.2289949209736924,0.5046722812461686,3,0,2,0,1,1,1,1
10000,IFG,0.9883961327887385,-0.8691083277948416,0.9104997602336821,1.643987448308451,0,0,3,2,NaN,0,NaN,0.6
1,STG,-0.2965553189437031,0.7416907121348153,-0.749363984509527,0.44226123134128503,0,2,0,3,0,0,0,0
1,IFG,0.418407502601446,-0.32188869920019153,0.7068659698449795,0.7185530502666699,2,3,0,0,0.4,1,0.5714285714285714,0.4
5,STG,0.691462396383661,0.025672175357168037,0.8924289671867972,0.4735315443815694,3,2,0,0,0.6,1,0.7499999999999999,0.6
5,IFG,-0.8260227000255244,0.5712602783771128,-0.3070170730588255,1.5609644234538667,0,0,3,2,NaN,0,NaN,0.6
10,STG,0.1642338147151053,0.1770928762234633,0.2965591091277674,0.012263795629651408,3,2,0,0,0.6,1,0.7499999999999999,0.6
10,IFG,0.5311895029887734,-0.9850214674356653,0.4165886924525126,1.7617651980867528,0,3,0,2,0,0,0,0
50,STG,0.7074162867547777,0.1281931380735483,0.30427760198167914,0.8345272193322998,3,2,0,0,0.6,1,0.7499999999999999,0.6
50,IFG,0.7121808966133134,-0.22903064370398024,-0.9292350432851595,0.5852683788212525,2,0,3,0,1,1,1,1
100,STG,0.8750341388286088,0.4045905370621996,-0.44711752890330736,0.6060564832616562,3,2,0,0,0.6,1,0.7499999999999999,0.6
100,IFG,0.17361523866049713,-0.38251423345373387,0.041999004214032215,0.44864408666541833,0,3,0,2,0,0,0,0
500,STG,0.8991891865177336,-0.9635466845231312,-0.75165750672054,0.5796980639940629,3,0,2,0,1,1,1,1
500,IFG,0.2606011942184602,-0.47145239374576636,-0.04339165717901291,0.4373968489595459,2,3,0,0,0.4,1,0.5714285714285714,0.4
1000,STG,-0.7189206912438393,-0.5543184806524606,-0.9414160658718312,0.859447769134958,0,0,2,3,NaN,0,NaN,0.4
1000,IFG,-0.2792191321334292,0.937955168544078,-0.32722976437812734,0.4286212286965825,0,3,0,2,0,0,0,0
2500,STG,-0.07339176025722538,-0.8174075330393813,0.5431927471631421,0.41005012694578263,3,0,2,0,1,1,1,1
2500,IFG,-0.5436721279952721,0.8173061579326318,-0.5459290589351029,0.2127942426387286,2,0,3,0,1,1,1,1
5000,STG,0.35587395011076156,0.9760043065825481,0.4097990121482129,0.922284652039399,3,1,1,0,0.75,1,0.8571428571428572,0.8
5000,IFG,0.23667758720078105,0.5420203889224244,-0.9772973035634541,0.2948515678627119,2,0,3,0,1,1,1,1
7500,STG,-0.19949596115395152,-0.891280694022672,0.9860404379498491,0.254506109776838,3,0,2,0,1,1,1,1
7500,IFG,-0.3610843775121034,0.8040410623831216,-0.9470373554744038,0.30254688507524785,2,0,3,0,1,1,1,1
10000,STG,0.9432060451003235,0.5196501492959209,-0.440059697466978,0.46518770728277237,3,0,2,0,1,1,1,1
10000,IFG,0.7536819771060423,0.9821253278354389,-0.8935022752141965,0.25033067634082623,2,1,2,0,0.6666666666666666,1,0.8,0.8
1,STG,-0.2577895213184149,0.26680527111511276,0.4194212807759299,1.5854803036426293,3,2,0,0,0.6,1,0.7499999999999999,0.6
1,IFG,-0.8227241974107607,0.7665910217216849,-0.28724632697355634,0.8074910448398689,0,0,3,2,NaN,0,NaN,0.6
5,STG,-0.9241874995441639,-0.40536018709137484,-0.33005406651921443,1.741024785635972,0,0,2,3,NaN,0,NaN,0.4
5,IFG,-0.36673281028813187,-0.43665328956818206,-0.2684821631017112,0.013489524377238382,0,0,3,2,NaN,0,NaN,0.6
10,STG,-0.9186919091857317,-0.33410831391418555,-0.8332008538520177,0.8897176762383996,0,0,2,3,NaN,0,NaN,0.4
10,IFG,0.39892677986498537,0.022924657416955804,-0.08595597381593896,0.7250058146020558,2,3,0,0,0.4,1,0.5714285714285714,0.4
50,STG,0.6553041120418966,0.010416809935473753,-0.573888683711886,1.8950710483830424,1,2,0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2
50,IFG,0.905434029229769,0.3008838071654393,-0.45752834723027846,1.8469094387125518,2,3,0,0,0.4,1,0.5714285714285714,0.4
100,STG,-0.3258913816983105,-0.8365252874382099,0.03814303288491347,0.582870164748549,3,0,2,0,1,1,1,1
100,IFG,-0.8866555165767396,0.940339950752092,-0.12283070552103288,0.47326331366865537,0,0,3,2,NaN,0,NaN,0.6
500,STG,-0.5713753535715266,-0.27866904862998226,-0.5823048989876176,0.8949047471964658,0,0,2,3,NaN,0,NaN,0.4
500,IFG,0.47900571227467703,-0.8384453341929412,0.3952331630507746,0.587712737104202,0,3,0,2,0,0,0,0
1000,STG,-0.51212357786841,-0.2456301839256228,0.7393952371140349,0.4009119750710508,3,0,2,0,1,1,1,1
1000,IFG,0.7690339914621864,-0.2095810398429369,-0.4953497327657149,0.31469604268725454,2,0,3,0,1,1,1,1
2500,STG,-0.647281464708549,-0.6389481876730141,0.984815967717664,0.30193699695530907,3,2,0,0,0.6,1,0.7499999999999999,0.6
2500,IFG,-0.8651719741547015,0.9631229390589968,-0.2723100613227933,0.6896442989590859,2,0,3,0,1,1,1,1
5000,STG,-0.9748178477386267,0.15006314465260134,0.7334712172147203,1.6808768290382634,3,0,2,0,1,1,1,1
5000,IFG,0.9685277956812237,0.02885500754930871,-0.9596845920164345,0.3468879110171717,0,0,3,2,NaN,0,NaN,0.6
7500,STG,0.3422443583254083,-0.7296848088868846,0.971215503397485,0.39005963323004955,3,2,0,0,0.6,1,0.7499999999999999,0.6
7500,IFG,0.19702807011177992,0.9688586188401516,-0.9604889868928528,0.29966344084740437,2,3,0,0,0.4,1,0.5714285714285714,0.4
10000,STG,0.9939847967442341,-0.8364468750543543,0.9774622010536927,0.5933895300397378,3,0,2,0,1,1,1,1
10000,IFG,-0.6696252692532088,-0.04108831327038155,-0.30511973036517614,0.5006893103872943,2,3,0,0,0.4,1,0.5714285714285714,0.4
1,STG,-0.731610512855613,0.7145691422920244,-0.16355474392932656,0.2538615828162767,0,0,2,3,NaN,0,NaN,0.4
1,IFG,-0.9395835740908836,-0.5177319729012505,-0.691239149293192,1.3043057358359857,0,0,3,2,NaN,0,NaN,0.6
5,STG,0.5564434780080002,-0.7203381514663674,-0.4130857769489172,1.4665885944367827,3,0,2,0,1,1,1,1
5,IFG,0.9486906274654285,0.44851096797440004,0.08843879379931119,1.3183254259974218,2,3,0,0,0.4,1,0.5714285714285714,0.4
10,STG,0.10750450776110873,0.40356692265200395,0.6923815929799111,0.4011121655498022,3,2,0,0,0.6,1,0.7499999999999999,0.6
10,IFG,-0.47010048675555693,0.26311856302056924,0.4498795026650943,1.5858254481154166,0,0,3,2,NaN,0,NaN,0.6
50,STG,-0.5052360377924388,0.467454450266594,-0.2933648548498805,0.6445184176471275,0,0,2,3,NaN,0,NaN,0.4
50,IFG,0.37522118005648464,0.14934171924345852,0.6384784343711851,0.48314766915779783,2,3,0,0,0.4,1,0.5714285714285714,0.4
100,STG,0.5500498449901399,0.3099676857414555,0.447625325467622,1.1636977169049592,3,2,0,0,0.6,1,0.7499999999999999,0.6
100,IFG,0.14179846899380366,0.6375849341262741,0.9567087470840013,0.8192792709151754,2,3,0,0,0.4,1,0.5714285714285714,0.4
500,STG,0.2765303945846706,0.3363453784898716,0.5234414345056778,0.4587622396570825,3,2,0,0,0.6,1,0.7499999999999999,0.6
500,IFG,-0.2905504987923135,-0.7942953771905814,-0.9787468478572127,0.5702146035251111,0,0,3,2,NaN,0,NaN,0.6
1000,STG,0.44596301836720514,-0.7032569369734787,0.9329102632382555,0.2875196421676111,3,0,2,0,1,1,1,1
1000,IFG,-0.22130233389829726,-0.9291103184424641,-0.7602954047313877,1.0775234697420568,2,0,3,0,1,1,1,1
2500,STG,0.09966072432345842,-0.9706675539727698,0.991617599426641,0.27887547004845986,0,0,2,3,NaN,0,NaN,0.4
2500,IFG,-0.3038676187445735,0.9522650538495655,-0.9125164536245973,0.43437056309222355,2,0,3,0,1,1,1,1
5000,STG,0.4128982797904017,-0.9300686889142527,0.8834369075944466,0.2016675818681783,3,0,2,0,1,1,1,1
5000,IFG,0.0583270171289734,0.981578255325072,-0.9644912699782444,0.37630343990036097,0,0,3,2,NaN,0,NaN,0.6
7500,STG,-0.07773610656851226,-0.9337393461398096,0.6151980768535905,0.3808351329703139,3,0,2,0,1,1,1,1
7500,IFG,0.45814798380972704,0.30051170800809934,-0.7706365192562172,0.38198471062209166,0,0,3,2,NaN,0,NaN,0.6
10000,STG,0.8966490073093512,-0.864664274560837,-0.6867425783430059,0.8597284117640178,3,0,2,0,1,1,1,1
10000,IFG,0.2959552242425978,0.6562794751310352,-0.9600298137900679,0.2098631054563861,2,0,3,0,1,1,1,1
1,STG,-0.45943703500304967,-0.8458217389299256,0.4163318107946328,1.9069033696442643,0,0,2,3,NaN,0,NaN,0.4
1,IFG,0.479487060429753,-0.7627190324115252,0.5800220508826647,1.3539219752938947,0,3,0,2,0,0,0,0
5,STG,0.2881831810943895,-0.698732554571492,-0.3149500542446657,0.04275204569176294,3,0,2,0,1,1,1,1
5,IFG,0.9587988150129032,0.10306282564582404,0.6869399590452071,0.1602956306187715,2,3,0,0,0.4,1,0.5714285714285714,0.4
10,STG,0.4010909928442924,0.6234575134079647,-0.7755324378849975,0.8171214510150757,0,2,0,3,0,0,0,0
10,IFG,-0.08793685857945333,-0.9586572808283474,-0.9821843082686654,1.0127930733904764,0,0,3,2,NaN,0,NaN,0.6
50,STG,0.6852181630114249,0.5582777764572203,0.19057350221656308,0.4151232974600931,3,2,0,0,0.6,1,0.7499999999999999,0.6
50,IFG,-0.45378380977826493,-0.10923244175395558,-0.1370366529340659,1.1654558253592904,0,0,3,2,NaN,0,NaN,0.6
100,STG,-0.31039214468035586,0.13840923732663016,-0.11220692868920866,0.6777395739522198,0,0,2,3,NaN,0,NaN,0.4
100,IFG,-0.6455036861870498,-0.2605034691247997,-0.5257334098690954,1.0550507402084157,0,0,3,2,NaN,0,NaN,0.6
500,STG,-0.5888526288169285,-0.19746133767335472,0.7111944200886005,0.2633024978283693,2,0,2,1,1,0.6666666666666666,0.8,0.8
500,IFG,-0.29568342678346143,0.9662313592596037,-0.654183756061141,0.2885132319617757,2,0,3,0,1,1,1,1
1000,STG,0.38861638108114194,-0.7031182272420832,0.9801041136290507,0.3454351887264531,3,2,0,0,0.6,1,0.7499999999999999,0.6
1000,IFG,0.5975568339683844,-0.7433479884894304,-0.9849334036036065,1.0210120655251076,0,0,3,2,NaN,0,NaN,0.6
2500,STG,0.974684085472943,-0.45768175377655845,-0.07388246550269659,0.31089450163355953,3,2,0,0,0.6,1,0.7499999999999999,0.6
2500,IFG,0.8156924789833827,0.9865147309743806,0.9558714197351773,1.0906537809738515,2,3,0,0,0.4,1,0.5714285714285714,0.4
