SAMPLES,STRUCTURE,INTERCEPT,TOPIC_1,TOPIC_2,SIGMA,TP,FP,TN,FN,PRECISION,RECALL,F1,ACCURACY
1000,IFG,0.6304521846863722,-0.8716578917333286,-0.8819895061546926,1.2992064883438432,0,0,3,2,NaN,0,NaN,0.6
2500,STG,0.09670542364237397,-0.9066502255133618,0.9250756290964562,0.21368605693258724,3,0,2,0,1,1,1,1
2500,IFG,-0.19102084759986407,-0.2388396705006532,-0.9758960014902364,0.3055070911554785,2,3,0,0,0.4,1,0.5714285714285714,0.4
5000,STG,-0.33242497968473184,-0.9328096662170157,0.8677549971592935,0.3112923491675025,3,0,2,0,1,1,1,1
5000,IFG,-0.37821899990119057,0.9793811442611404,-0.9941696851572777,0.18564874420705071,0,0,3,2,NaN,0,NaN,0.6
7500,STG,0.6035475353644393,-0.9877482966782004,0.827218715759105,0.19144639298647242,0,0,2,3,NaN,0,NaN,0.4
7500,IFG,0.5857099383039841,0.3136991137372558,-0.9831123613068392,0.38408630555251455,2,0,3,0,1,1,1,1
10000,STG,0.2525827554937682,-0.8320678190071176,0.9421491062583119,0.21197419769288378,3,0,2,0,1,1,1,1
10000,IFG,0.37507251100984906,0.6795020577621691,-0.974779559429596,0.3487409201007372,2,0,3,0,1,1,1,1
1,STG,-0.2727220687785765,-0.39375265463427,-0.9259357113717552,1.195763918444726,0,0,2,3,NaN,0,NaN,0.4
1,IFG,0.14416226743602145,0.9983073611758186,0.7572051452711333,0.3218311495438798,2,3,0,0,0.4,1,0.5714285714285714,0.4
5,STG,-0.20077423017446147,0.32474687589153733,-0.007384295339285529,1.2745653669991188,0,2,0,3,0,0,0,0
5,IFG,-0.4759883751236087,0.28898546919403445,-0.029489302351831004,1.022058848192609,0,0,3,2,NaN,0,NaN,0.6
10,STG,0.3011748858934824,-0.7990395927587721,-0.42719034197564587,1.5288215994908132,0,0,2,3,NaN,0,NaN,0.4
10,IFG,-0.6827465948137557,0.9386499976444407,-0.4361254061121165,1.6441691981740907,2,0,3,0,1,1,1,1
50,STG,0.9946784254473864,-0.4569140079776032,0.0316094729893643,1.1473614819538323,3,2,0,0,0.6,1,0.7499999999999999,0.6
50,IFG,0.3642858948352415,0.4973755300055205,-0.21298978106508623,0.6388434382559245,2,3,0,0,0.4,1,0.5714285714285714,0.4
100,STG,0.27999385588151715,-0.12363742553965484,0.594329617687561,0.700288084131872,1,2,0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2
100,IFG,0.4638954123490264,-0.038838386800016736,0.8676971908320561,1.7572589397020986,2,3,0,0,0.4,1,0.5714285714285714,0.4
500,STG,-0.5707938659181875,-0.4747033418752772,0.897397682679582,0.3862809091015716,0,2,0,3,0,0,0,0
500,IFG,0.15210285580884605,-0.16466582094790014,-0.7078144985478615,0.3564876317322946,2,0,3,0,1,1,1,1
1000,STG,-0.9590167749693569,0.04178770530315848,0.9383967560704533,0.4052179034901676,0,0,2,3,NaN,0,NaN,0.4
1000,IFG,0.0787473554528002,0.6022461666264436,-0.6934001572411366,0.27572168752103465,2,2,1,0,0.5,1,0.6666666666666666,0.6
2500,STG,0.18052453829997292,0.3902157438857392,0.9556851383371912,0.5840134242983185,3,2,0,0,0.6,1,0.7499999999999999,0.6
2500,IFG,-0.05564000496207688,0.9732686349227406,-0.8454057967276358,0.20275747309275913,2,1,2,0,0.6666666666666666,1,0.8,0.8
5000,STG,-0.44989593695604047,0.13623923362502702,0.4775978760159193,0.3636556312989595,3,2,0,0,0.6,1,0.7499999999999999,0.6
5000,IFG,-0.4572294737941044,0.9587118983328073,-0.30224881285629956,0.2747018297184215,2,0,3,0,1,1,1,1
7500,STG,0.09117861526200002,-0.8965800314386633,-0.817617592869718,0.386916371091068,0,0,2,3,NaN,0,NaN,0.4
7500,IFG,-0.7097863686530148,0.6388626435940612,-0.8451299812812006,0.19941744371842685,0,0,3,2,NaN,0,NaN,0.6
10000,STG,0.8249059814319861,-0.14497447843237599,0.9603979477249678,0.35833336283842554,2,0,2,1,1,0.6666666666666666,0.8,0.8
10000,IFG,0.4964883425008282,0.9433150622589701,-0.9795227051049715,0.3389747484107824,2,0,3,0,1,1,1,1
1,STG,-0.12536250086121603,-0.09821790316177781,0.9708525210637464,1.0588939280276635,3,0,2,0,1,1,1,1
1,IFG,0.2352198869104294,-0.6054338165687361,-0.21249292181903634,1.773053491876854,0,2,1,2,0,0,0,0.2
5,STG,-0.2256830342774105,0.9808660065873314,0.5393038941208976,1.405318387831795,3,2,0,0,0.6,1,0.7499999999999999,0.6
5,IFG,0.378290867537889,0.8098716965438648,0.9086418823483396,0.39560315597739293,2,3,0,0,0.4,1,0.5714285714285714,0.4
10,STG,0.994130825879218,-0.4390996234356845,0.2498823382111871,1.260961766963641,3,2,0,0,0.6,1,0.7499999999999999,0.6
10,IFG,0.025973283997225587,-0.9595525686544977,0.0035908225167968974,1.2255804751719377,0,2,1,2,0,0,0,0.2
50,STG,0.2582384145247186,-0.6152577751176219,0.17947095653672124,1.5363667480506333,3,0,2,0,1,1,1,1
50,IFG,-0.8042077518579784,0.6498166090053062,-0.5572003276466277,0.4444727912914646,0,0,3,2,NaN,0,NaN,0.6
